Player Name,Stat Type,Stats Data
Bruno Guimarães,Passing,Newcastle United,"['39', 'br BRA', 'RM,CM', '27-316', '90', '21', '26', '80.8', '358', '53', '9', '14', '64.3', '11', '11', '100.0', '1', '1', '100.0', '0', '0.1', '0.2', '2', '0', '1', '0', '2']"
Dan Burn,Passing,Newcastle United,"['33', 'eng ENG', 'LB,CB', '33-142', '90', '17', '42', '40.5', '384', '205', '7', '11', '63.6', '6', '14', '42.9', '4', '14', '28.6', '0', '0.0', '0.0', '0', '3', '0', '0', '4']"
Sven Botman,Passing,Newcastle United,"['4', 'nl NED', 'CB', '25-259', '90', '35', '43', '81.4', '619', '250', '14', '15', '93.3', '16', '17', '94.1', '4', '8', '50.0', '0', '0.0', '0.0', '1', '0', '0', '0', '1']"
Malick Thiaw,Passing,Newcastle United,"['12', 'de GER', 'CB', '24-051', '90', '20', '23', '87.0', '396', '50', '7', '8', '87.5', '11', '13', '84.6', '2', '2', '100.0', '0', '0.0', '0.0', '0', '0', '0', '0', '1']"
Valentino Livramento,Passing,Newcastle United,"['21', 'eng ENG', 'RB,LB', '22-320', '76', '16', '25', '64.0', '277', '119', '6', '9', '66.7', '10', '12', '83.3', '0', '2', '0.0', '0', '0.0', '0.0', '0', '1', '1', '0', '2']"
Jamaal Lascelles,Passing,Newcastle United,"['6', 'eng ENG', 'CB', '31-321', '14', '4', '6', '66.7', '80', '14', '0', '1', '0.0', '4', '4', '100.0', '0', '1', '0.0', '0', '0.0', '0.0', '0', '0', '0', '0', '0']"
Nick Pope,Passing,Newcastle United,"['1', 'eng ENG', 'GK', '33-162', '90', '21', '37', '56.8', '751', '524', '3', '3', '100.0', '8', '8', '100.0', '10', '26', '38.5', '0', '0.0', '0.0', '0', '0', '0', '0', '0']"
Nick Woltemade,Pass Types,Newcastle United,"['27', 'de GER', 'FW', '23-226', '66', '10', '10', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '9', '0', '0']"
William Osula,Pass Types,Newcastle United,"['18', 'dk DEN', 'FW', '22-055', '24', '1', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0']"
Anthony Gordon,Pass Types,Newcastle United,"['10', 'eng ENG', 'LW', '24-216', '66', '16', '16', '0', '0', '0', '1', '1', '0', '0', '0', '0', '0', '10', '0', '0']"
Kieran Trippier,Pass Types,Newcastle United,"['2', 'eng ENG', 'RB,LW', '35-009', '24', '13', '6', '7', '2', '0', '0', '0', '5', '0', '0', '0', '0', '9', '0', '0']"
Jacob Murphy,Pass Types,Newcastle United,"['23', 'eng ENG', 'RW', '30-216', '66', '10', '10', '0', '0', '0', '0', '3', '0', '0', '0', '0', '0', '4', '0', '1']"
Anthony Elanga,Pass Types,Newcastle United,"['20', 'se SWE', 'RM,RW', '23-154', '24', '5', '5', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '4', '0', '0']"
Joelinton,Pass Types,Newcastle United,"['7', 'br BRA', 'LM', '29-045', '89', '32', '32', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '21', '0', '1']"
Harvey Barnes,Pass Types,Newcastle United,"['11', 'eng ENG', 'LM', '27-293', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']"
Sandro Tonali,Pass Types,Newcastle United,"['8', 'it ITA', 'CM', '25-143', '90', '35', '25', '10', '3', '0', '0', '8', '0', '7', '2', '4', '0', '22', '0', '0']"
Bruno Guimarães,Pass Types,Newcastle United,"['39', 'br BRA', 'RM,CM', '27-316', '90', '26', '24', '2', '0', '1', '0', '0', '0', '0', '0', '0', '0', '21', '0', '0']"
Dan Burn,Pass Types,Newcastle United,"['33', 'eng ENG', 'LB,CB', '33-142', '90', '42', '32', '10', '0', '0', '0', '1', '10', '0', '0', '0', '0', '17', '0', '1']"
Sven Botman,Pass Types,Newcastle United,"['4', 'nl NED', 'CB', '25-259', '90', '43', '42', '1', '1', '0', '1', '0', '0', '0', '0', '0', '0', '35', '0', '0']"
Malick Thiaw,Pass Types,Newcastle United,"['12', 'de GER', 'CB', '24-051', '90', '23', '23', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '20', '0', '0']"
Valentino Livramento,Pass Types,Newcastle United,"['21', 'eng ENG', 'RB,LB', '22-320', '76', '25', '18', '6', '0', '0', '0', '1', '6', '0', '0', '0', '0', '16', '1', '1']"
Jamaal Lascelles,Pass Types,Newcastle United,"['6', 'eng ENG', 'CB', '31-321', '14', '6', '6', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '4', '0', '0']"
Nick Pope,Pass Types,Newcastle United,"['1', 'eng ENG', 'GK', '33-162', '90', '37', '27', '10', '3', '0', '0', '0', '0', '0', '0', '0', '0', '21', '0', '0']"
Nick Woltemade,Defensive Actions,Newcastle United,"['27', 'de GER', 'FW', '23-226', '66', '0', '0', '0', '0', '0', '0', '1', '0.0', '1', '0', '0', '0', '1', '1', '0', '0']"
William Osula,Defensive Actions,Newcastle United,"['18', 'dk DEN', 'FW', '22-055', '24', '0', '0', '0', '0', '0', '0', '0', '', '0', '0', '0', '0', '0', '0', '0', '0']"
Anthony Gordon,Defensive Actions,Newcastle United,"['10', 'eng ENG', 'LW', '24-216', '66', '3', '2', '2', '1', '0', '2', '4', '50.0', '2', '0', '0', '0', '0', '3', '1', '0']"
Kieran Trippier,Defensive Actions,Newcastle United,"['2', 'eng ENG', 'RB,LW', '35-009', '24', '0', '0', '0', '0', '0', '0', '0', '', '0', '0', '0', '0', '0', '0', '3', '0']"
Jacob Murphy,Defensive Actions,Newcastle United,"['23', 'eng ENG', 'RW', '30-216', '66', '0', '0', '0', '0', '0', '0', '0', '', '0', '1', '0', '1', '0', '0', '1', '0']"
Anthony Elanga,Defensive Actions,Newcastle United,"['20', 'se SWE', 'RM,RW', '23-154', '24', '0', '0', '0', '0', '0', '0', '0', '', '0', '0', '0', '0', '0', '0', '0', '0']"
Joelinton,Defensive Actions,Newcastle United,"['7', 'br BRA', 'LM', '29-045', '89', '1', '0', '0', '1', '0', '0', '2', '0.0', '2', '2', '1', '1', '2', '3', '0', '0']"
Harvey Barnes,Defensive Actions,Newcastle United,"['11', 'eng ENG', 'LM', '27-293', '1', '0', '0', '0', '0', '0', '0', '0', '', '0', '0', '0', '0', '0', '0', '0', '0']"
Sandro Tonali,Defensive Actions,Newcastle United,"['8', 'it ITA', 'CM', '25-143', '90', '2', '1', '1', '1', '0', '0', '0', '', '0', '1', '1', '0', '2', '4', '4', '0']"
Bruno Guimarães,Defensive Actions,Newcastle United,"['39', 'br BRA', 'RM,CM', '27-316', '90', '2', '1', '1', '1', '0', '1', '4', '25.0', '3', '0', '0', '0', '0', '2', '1', '0']"
Dan Burn,Defensive Actions,Newcastle United,"['33', 'eng ENG', 'LB,CB', '33-142', '90', '2', '2', '2', '0', '0', '1', '4', '25.0', '3', '0', '0', '0', '1', '3', '6', '0']"
Sven Botman,Defensive Actions,Newcastle United,"['4', 'nl NED', 'CB', '25-259', '90', '0', '0', '0', '0', '0', '0', '0', '', '0', '3', '3', '0', '1', '1', '11', '0']"
Malick Thiaw,Defensive Actions,Newcastle United,"['12', 'de GER', 'CB', '24-051', '90', '1', '1', '1', '0', '0', '1', '1', '100.0', '0', '2', '0', '2', '1', '2', '8', '0']"
Valentino Livramento,Defensive Actions,Newcastle United,"['21', 'eng ENG', 'RB,LB', '22-320', '76', '0', '0', '0', '0', '0', '0', '0', '', '0', '0', '0', '0', '0', '0', '3', '0']"
